icpsr,bioname,congress,chamber,twitter
29346,"RUSH, Bobby L.",117,House,RepBobbyRush
29345,"CRAPO, Michael Dean",117,Senate,MikeCrapo
29339,"BISHOP, Sanford Dixon, Jr.",117,House,SanfordBishop
29337,"HASTINGS, Alcee Lamar",117,House,RepHastingsFL
29323,"CALVERT, Ken",117,House,KenCalvert
29317,"ROYBAL-ALLARD, Lucille",117,House,RepRoybalAllard
29312,"ESHOO, Anna Georges",117,House,RepAnnaEshoo
29147,"SANDERS, Bernard",117,Senate,BernieSanders
29142,"REED, John F. (Jack)",117,Senate,SenJackReed
29109,"DeLAURO, Rosa L.",117,House,rosadelauro
29106,"WATERS, Maxine",117,House,RepMaxineWaters
22156,"WILLIAMS, Nikema",117,House,NikemaWilliams
22155,"VAN DUYNE, Beth",117,House,Bethvanduyne
22154,"TORRES, Ritchie",117,House,RitchieTorres
22153,"STRICKLAND, Marilyn",117,House,StricklandforWA
22152,"STEEL, Michelle",117,House,MichelleSteelCA
22151,"SPARTZ, Victoria",117,House,Victoria_Spartz
22150,"SALAZAR, Maria Elvira",117,House,MaElviraSalazar
22149,"ROSS, Deborah K.",117,House,DeborahRossNC
22148,"ROSENDALE, Matthew M., Sr.",117,House,MattForMontana
22147,"PFLUGER, August",117,House,AugustPfluger
22146,"OWENS, Burgess",117,House,BurgessOwens
22145,"OBERNOLTE, Jay",117,House,JayObernolte
22144,"NEWMAN, Marie",117,House,Marie4Congress
22143,"NEHLS, Troy E.",117,House,SheriffTNehls
22142,"MRVAN, Frank J.",117,House,RepMrvan
22141,"MOORE, Blake D.",117,House,ElectBlakeMoore
22140,"MOORE, Barry",117,House,RepBarryMoore
22139,"MILLER-MEEKS, Mariannette",117,House,RepMMM
22138,"MILLER, Mary E.",117,House,Miller_Congress
22137,"MEIJER, Peter",117,House,RepMeijer
22136,"MCCLAIN, Lisa C.",117,House,LisaForCongress
22135,"MANNING, Kathy E.",117,House,KathyManningNC
22134,"MANN, Tracey",117,House,RepMann
22133,"MALLIOTAKIS, Nicole",117,House,NMalliotakis
22132,"MACE, Nancy",117,House,NancyMace
22131,"LEGER FERNANDEZ, Teresa",117,House,TeresaForNM
22130,"LATURNER, Jake",117,House,JakeLaTurner
22129,"KIM, Young",117,House,YoungKimCA
22128,"KAHELE, Kaialiʻi",117,House,kaikahele
22127,"JONES, Mondaire",117,House,MondaireJones
22126,"JACOBS, Sara",117,House,SaraJacobsCA
22125,"JACKSON, Ronny",117,House,RonnyJacksonTX
22124,"HINSON, Ashley",117,House,hinsonashley
22123,"HERRELL, Yvette",117,House,Yvette4congress
22122,"HARSHBARGER, Diana",117,House,DHarshbargerTN1
22121,"GREENE, Marjorie Taylor",117,House,mtgreenee
22120,"GOOD, Bob",117,House,RepGoodlatte
22119,"GONZALES, Tony",117,House,TonyGonzales4TX
22118,"GIMENEZ, Carlos A.",117,House,CarlosGimenezFL
22117,"GARBARINO, Andrew R.",117,House,GarbarinoforNY
22116,"FRANKLIN, C. Scott",117,House,RepFranklin
22115,"FITZGERALD, Scott",117,House,FitzgeraldForWI
22114,"FISCHBACH, Michelle",117,House,FischbachMN7
22113,"FEENSTRA, Randy",117,House,RandyFeenstra
22112,"FALLON, Pat",117,House,FallonForTexas
22111,"DONALDS, Byron",117,House,ByronDonalds
22110,"CLYDE, Andrew S.",117,House,
22109,"CAWTHORN, Madison",117,House,CawthornforNC
22108,"CARL, Jerry L.",117,House,RepJerryCarl
22107,"CAMMACK, Kat",117,House,Kat_Cammack
22106,"BUSH, Cori",117,House,CoriBush
22105,"BOWMAN, Jamaal",117,House,JamaalBowmanNY
22104,"BOURDEAUX, Carolyn",117,House,Carolyn4GA7
22103,"BOEBERT, Lauren",117,House,laurenboebert
22102,"BICE, Stephanie I.",117,House,stephaniebice
22101,"BENTZ, Cliff",117,House,CliffBentz
22100,"AUCHINCLOSS, Jake",117,House,JakeAuch
21990,"JACOBS, Chris",117,House,RepJacobs
21989,"TIFFANY, Thomas P.",117,House,TomTiffanyWI
21988,"GARCIA, Mike",117,House,ElectMikeGarcia
21987,"MURPHY, Gregory Francis",117,House,RepGregMurphy
21986,"BISHOP, Dan",117,House,jdanbishop
21985,"KELLER, Fred",117,House,RepFredKeller
21984,"WRIGHT, Ron",117,House,RepRonWright
21983,"WEXTON, Jennifer",117,House,RepWexton
21981,"WALTZ, Michael",117,House,michaelgwaltz
21979,"UNDERWOOD, Lauren",117,House,LaurenUnderwood
21978,"TRONE, David",117,House,RepDavidTrone
21977,"TRAHAN, Lori",117,House,RepLoriTrahan
21975,"TLAIB, Rashida",117,House,RashidaTlaib
21974,"TIMMONS, William",117,House,RepTimmons
21973,"TAYLOR, Nicholas",117,House,VanTaylorTX
21972,"STEVENS, Haley",117,House,RepHaleyStevens
21971,"STEUBE, William",117,House,RepGregSteube
21970,"STEIL, Bryan",117,House,RepBryanSteil
21969,"STAUBER, Peter",117,House,RepPeteStauber
21968,"STANTON, Greg",117,House,gregstantonaz
21966,"SPANBERGER, Abigail",117,House,SpanbergerVA07
21965,"SLOTKIN, Elissa",117,House,RepSlotkin
21964,"SHERRILL, Mikie",117,House,RepSherrill
21962,"SCHRIER, Kim",117,House,RepKimSchrier
21961,"ROY, Charles",117,House,RepChipRoy
21959,"ROSE, John",117,House,RepJohnRose
21956,"RESCHENTHALER, Guy",117,House,GReschenthaler
21955,"PRESSLEY, Ayanna",117,House,AyannaPressley
21954,"PORTER, Katie",117,House,RepKatiePorter
21953,"PHILLIPS, Dean",117,House,RepDeanPhillips
21952,"PENCE, Gregory",117,House,GregPenceIN
21951,"PAPPAS, Chris",117,House,ChrisPappasNH
21950,"OMAR, Ilhan",117,House,IlhanMN
21949,"OCASIO-CORTEZ, Alexandria",117,House,AOC
21948,"NEGUSE, Joseph",117,House,RepJoeNeguse
21946,"MILLER, Carol",117,House,RepCarolMiller
21945,"MEUSER, Dan",117,House,RepMeuser
21944,"McBATH, Lucy",117,House,lucymcbath
21942,"MALINOWSKI, Tomaz",117,House,Malinowski
21941,"LURIA, Elaine",117,House,RepElaineLuria
21940,"LEVIN, Andy",117,House,RepAndyLevin
21939,"LEVIN, Mike",117,House,MikeLevin
21938,"LEE, Susie",117,House,SusieLeeNV
21937,"KIM, Andy",117,House,AndyKimNJ
21936,"JOYCE, John",117,House,RepJohnJoyce
21935,"JOHNSON, Dustin",117,House,
21934,"HOULAHAN, Christina",117,House,RepHoulahan
21931,"HAYES, Jahana",117,House,JahanaHayesCT
21930,"HARDER, Josh",117,House,RepJoshHarder
21929,"HAGEDORN, Jim",117,House,RepHagedorn
21928,"HAALAND, Debra",117,House,DebHaalandNM
21927,"GUEST, Michael",117,House,RepMichaelGuest
21926,"GREEN, Mark",117,House,RepMarkGreen
21925,"GOODEN, Lance",117,House,Lancegooden
21924,"GONZALEZ, Anthony",117,House,RepAGonzalez
21923,"GOLDEN, Jared",117,House,RepGolden
21922,"GARCIA, Sylvia",117,House,RepSylviaGarcia
21921,"GARCÍA, Jesús",117,House,
21920,"FULCHER, Russell",117,House,RepRussFulcher
21919,"FLETCHER, Elizabeth",117,House,RepFletcher
21917,"ESCOBAR, Veronica",117,House,RepEscobar
21916,"DELGADO, Antonio",117,House,DelgadoforNY19
21915,"DEAN, Madeleine",117,House,RepDean
21914,"DAVIDS, Sharice",117,House,RepDavids
21912,"CROW, Jason",117,House,RepJasonCrow
21911,"CRENSHAW, Daniel",117,House,DanCrenshawTX
21910,"CRAIG, Angela",117,House,RepAngieCraig
21908,"CLINE, Benjamin",117,House,Cline4Virginia
21906,"CASTEN, Sean",117,House,SeanCasten
21905,"BURCHETT, Timothy",117,House,timburchett
21903,"BAIRD, James",117,House,
21902,"AXNE, Cynthia",117,House,RepCindyAxne
21901,"ARMSTRONG, Kelly",117,House,RepArmstrongND
21900,"ALLRED, Colin",117,House,ColinAllredTX
21763,"WILD, Susan",117,House,RepSusanWild
21762,"SCANLON, Mary Gay",117,House,RepMGS
21761,"MORELLE, Joseph D.",117,House,RepJoeMorelle
21760,"HERN, Kevin",117,House,repkevinhern
21759,"BALDERSON, Troy",117,House,Troy_Balderson
21758,"CLOUD, Michael",117,House,RepCloudTX
21757,"LESKO, Debbie",117,House,RepDLesko
21756,"LAMB, Conor",117,House,ConorLambPA
21755,"CURTIS, John R.",117,House,RepJohnCurtis
21754,"GOMEZ, Jimmy",117,House,RepJimmyGomez
21753,"NORMAN, Ralph",117,House,RepRalphNorman
21750,"ESTES, Ron",117,House,RepRonEstes
21747,"SUOZZI, Thomas",117,House,RepTomSuozzi
21746,"SOTO, Darren Michael",117,House,RepDarrenSoto
21745,"SMUCKER, Lloyd K.",117,House,RepSmucker
21744,"RUTHERFORD, John Henry",117,House,RepRutherfordFL
21743,"ROSEN, Jacklyn Sheryl",117,Senate,SenJackyRosen
21741,"RASKIN, Jamie Ben",117,House,RepRaskin
21740,"PANETTA, James Varni",117,House,RepJimmyPanetta
21739,"O'HALLERAN, Thomas C.",117,House,RepOHalleran
