icpsr,bioname,congress,chamber,twitter
20340,"BUTTERFIELD, George Kenneth, Jr. (G.K.)",117,House,GKButterfield
20330,"VAN HOLLEN, Christopher",117,Senate,ChrisVanHollen
20329,"RUPPERSBERGER, C. A. (Dutch)",117,House,Call_Me_Dutch
20322,"CASE, Ed",117,House,RepEdCase
20321,"SCOTT, David",117,House,
20316,"DIAZ-BALART, Mario",117,House,MarioDB
20307,"NUNES, Devin",117,House,DevinNunes
20305,"GRIJALVA, Raúl M.",117,House,RepRaulGrijalva
20301,"ROGERS, Mike Dennis",117,House,RepMikeRogersAL
20146,"CAPITO, Shelley Moore",117,Senate,SenCapito
20145,"LARSEN, Richard Ray (Rick)",117,House,RepRickLarsen
20138,"WILSON, Addison Graves (Joe)",117,House,RepJoeWilson
20136,"LANGEVIN, James",117,House,JimLangevin
20124,"GRAVES, Samuel",117,House,RepSamGraves
20122,"McCOLLUM, Betty",117,House,BettyMcCollum04
20119,"LYNCH, Stephen F.",117,House,RepStephenLynch
20107,"ISSA, Darrell",117,House,repdarrellissa
20104,"SCHIFF, Adam",117,House,RepAdamSchiff
20101,"BOOZMAN, John",117,Senate,JohnBoozman
15616,"NEAL, Richard Edmund",117,House,RepRichardNeal
15454,"PALLONE, Frank, Jr.",117,House,FrankPallone
15448,"PELOSI, Nancy",117,House,SpeakerPelosi
15446,"UPTON, Frederick Stephen",117,House,UptonForAllOfUs
15438,"PRICE, David Eugene",117,House,RepDavidEPrice
15433,"MFUME, Kweisi",117,House,RepKweisiMfume
15424,"INHOFE, James Mountain",117,Senate,JimInhofe
15410,"DeFAZIO, Peter Anthony",117,House,RepPeterDeFazio
15408,"CARDIN, Benjamin Louis",117,Senate,SenatorCardin
15029,"KAPTUR, Marcia Carolyn (Marcy)",117,House,RepMarcyKaptur
15021,"DURBIN, Richard Joseph",117,Senate,SenatorDurbin
15019,"COOPER, James Hayes Shofner",117,House,
15015,"CARPER, Thomas Richard",117,Senate,SenatorCarper
14921,"McCONNELL, Addison Mitchell (Mitch)",117,Senate,McConnellPress
14873,"HOYER, Steny Hamilton",117,House,LeaderHoyer
14871,"WYDEN, Ronald Lee",117,Senate,RonWyden
14863,"SMITH, Christopher Henry",117,House,
14858,"SCHUMER, Charles Ellis (Chuck)",117,Senate,SenSchumer
14854,"ROGERS, Harold Dallas (Hal)",117,House,RepHalRogers
14435,"MARKEY, Edward John",117,Senate,EdMarkey
14307,"LEAHY, Patrick Joseph",117,Senate,SenatorLeahy
14226,"GRASSLEY, Charles Ernest",117,Senate,ChuckGrassley
14066,"YOUNG, Donald Edwin",117,House,repdonyoung
91737,"MITCHELL, Paul",116,House,RepPaulMitchell
91143,"AMASH, Justin",116,House,justinamash
49706,"ENZI, Michael B.",116,Senate,SenatorEnzi
41705,"JONES, Gordon Douglas (Doug)",116,Senate,DougJones
41501,"PERDUE, David Alfred, Jr.",116,Senate,sendavidperdue
40304,"ALEXANDER, Lamar",116,Senate,SenAlexander
29932,"WALDEN, Greg",116,House,repgregwalden
29924,"UDALL, Thomas (Tom)",116,Senate,SenatorTomUdall
29909,"ISAKSON, Johnny",116,Senate,SenatorIsakson
29718,"SHIMKUS, John M.",116,House,RepShimkus
29587,"CUMMINGS, Elijah Eugene",116,House,RepCummings
29572,"THORNBERRY, William McClellan (Mac)",116,House,MacTXPress
29546,"JONES, Walter Beaman, Jr.",116,House,RepWalterJones
29375,"KING, Peter T.",116,House,RepPeteKing
29134,"SERRANO, José E.",116,House,RepJoseSerrano
29127,"PETERSON, Collin Clark",116,House,collinpeterson
21991,"HALL, Kwanza",116,House,kwanzahall
21982,"WATKINS, Steve",116,House,Steve4Kansas
21980,"VAN DREW, Jefferson",116,House,CongressmanJVD
21976,"TORRES SMALL, Xochitl",116,House,RepTorresSmall
21967,"SPANO, Ross",116,House,RepRossSpano
21963,"SHALALA, Donna",116,House,DonnaShalala
21960,"ROUDA, Harley",116,House,HarleyRouda
21958,"ROSE, Max",116,House,MaxRose4NY
21957,"RIGGLEMAN, Denver",116,House,Denver4VA
21947,"MUCARSEL-POWELL, Debbie",116,House,RepDMP
21943,"McADAMS, Ben",116,House,BenMcAdams
21933,"HORN, Kendra",116,House,KendraSHorn
21932,"HILL, Katie",116,House,KatieHill4CA
21918,"FINKENAUER, Abby",116,House,Abby4Iowa
21913,"CUNNINGHAM, Joe",116,House,JoeCunninghamSC
21909,"COX, TJ",116,House,RepTjCox
21907,"CISNEROS, Gil",116,House,GilCisnerosCA
21904,"BRINDISI, Anthony",116,House,ABrindisiNY
21751,"GIANFORTE, Greg",116,House,GregForMontana
21742,"ROONEY, Francis",116,House,RepRooney
21737,"MITCHELL, Paul",116,House,RepPaulMitchell
21550,"HURD, William Ballard",116,House,HurdOnTheHill
21549,"RATCLIFFE, John",116,House,DNI_Ratcliffe
21543,"WALKER, Bradley Mark",116,House,RepMarkWalker
21522,"ABRAHAM, Ralph",116,House,RepAbraham
21501,"McSALLY, Martha",116,Senate,MarthaMcSally
21376,"BYRNE, Bradley",116,House,RepByrne
21369,"HECK, Denny",116,House,RepDennyHeck
21349,"HOLDING, George E.B.",116,House,RepHolding
21348,"MEADOWS, Mark",116,House,MarkMeadows
21345,"COLLINS, Chris",116,House,
21335,"KENNEDY, Joseph P. III",116,House,RepJoeKennedy
21331,"BROOKS, Susan",116,House,SusanWBrooks
21324,"GABBARD, Tulsi",116,House,TulsiGabbard
21323,"COLLINS, Doug",116,House,CollinsforGA
21317,"YOHO, Ted",116,House,RepTedYoho
21305,"COOK, Paul",116,House,ColPaulCookRet
21192,"ROBY, Martha",116,House,MarthaRobyAL
21189,"DUFFY, Sean",116,House,SeanDuffyWI
21182,"FLORES, Bill",116,House,
21170,"MARINO, Thomas A.",116,House,
21143,"AMASH, Justin",116,House,justinamash
21122,"WOODALL, Rob",116,House,RepRobWoodall
21112,"GARDNER, Cory",116,Senate,SenCoryGardner
21111,"TIPTON, Scott",116,House,RepTipton
20963,"HUNTER, Duncan Duane",116,House,
20962,"GRAVES, Tom",116,House,RepTomGraves
20948,"OLSON, Pete",116,House,PeteOlson
20947,"ROE, David P. (Phil)",116,House,DrPhilRoe
20720,"LOEBSACK, Dave",116,House,daveloebsack
20532,"MARCHANT, Kenny",116,House,RepKenMarchant
20531,"CONAWAY, K. Michael",116,House,ConawayTX11
20508,"LIPINSKI, Daniel",116,House,RepLipinski
20357,"BISHOP, Robert (Rob)",116,House,
20325,"KING, Steve",116,House,SteveKingIA
20147,"CLAY, William Lacy, Jr.",116,House,LacyClayMO1
20108,"DAVIS, Susan A.",116,House,
15612,"LOWEY, Nita M.",116,House,NitaLowey
15603,"ENGEL, Eliot Lance",116,House,RepEliotEngel
15431,"LEWIS, John R.",116,House,repjohnlewis
15124,"VISCLOSKY, Peter",116,House,RepVisclosky
14852,"ROBERTS, Charles Patrick (Pat)",116,Senate,SenPatRoberts
99912,"TRUMP, Donald John",115,President,
49700,"SESSIONS, Jefferson Beauregard III (Jeff)",115,Senate,SenatorSessions
41704,"STRANGE, Luther  Johnson, III",115,Senate,lutherstrange
41303,"HEITKAMP, Mary Kathryn (Heidi)",115,Senate,SenatorHeitkamp
40904,"FRANKEN, Al",115,Senate,alfranken
40705,"CORKER, Robert (Bob)",115,Senate,SenBobCorker
40701,"McCASKILL, Claire",115,Senate,clairecmc
39308,"GOODLATTE, Robert William",115,House,RepGoodlatte
39304,"GREEN, Raymond Eugene (Gene)",115,House,RepGeneGreen
29939,"RYAN, Paul D.",115,House,SpeakerRyan
29925,"CROWLEY, Joseph",115,House,repjoecrowley
29919,"CAPUANO, Michael Everett",115,House,RepMikeCapuano
29777,"BRADY, Robert A.",115,House,RepBrady
29565,"SANFORD, Mark",115,House,MarkSanford
29541,"FRELINGHUYSEN, Rodney P.",115,House,USRepRodney
29539,"LoBIONDO, Frank A.",115,House,RepLoBiondo
29378,"VELÁZQUEZ, Nydia M.",115,House,NydiaVelazquez
29348,"GUTIÉRREZ, Luis V.",115,House,RepGutierrez
29321,"ROYCE, Edward Randall",115,House,RepEdRoyce
29316,"BECERRA, Xavier",115,House,RepBecerra
29143,"JOHNSON, Sam",115,House,SamsPressShop
21764,"JONES, Brenda",115,House,VoteBrendaJones
21752,"HANDEL, Karen",115,House,
21749,"TENNEY, Claudia",115,House,
21748,"TAYLOR, Scott William",115,House,Scotttaylorva
21733,"LEWIS, Jason Mark",115,House,Jason2CD
21729,"KIHUEN, Ruben Jesus",115,House,RepKihuen
21721,"GARRETT, Thomas Alexander Jr.",115,House,
21716,"FASO, John J.",115,House,RepJohnFaso
21560,"DONOVAN, Daniel M., Jr.",115,House,RepDanDonovan
21558,"JENKINS, Evan H.",115,House,RepEvanJenkins
21555,"COMSTOCK, Barbara J.",115,House,BarbaraComstock
21553,"BRAT, David A.",115,House,DaveBratVA7th
21552,"LOVE, Ludmya Bourdeau (Mia)",115,House,RepMiaLove
21547,"COSTELLO, Ryan",115,House,RepRyanCostello
21546,"RUSSELL, Steve",115,House,RepRussell
21537,"MacARTHUR, Thomas Charles",115,House,RepTomMacArthur
21532,"ZINKE, Ryan",115,House,RyanZinke
21528,"TROTT, David A.",115,House,RepDaveTrott
21527,"BISHOP, Michael Dean",115,House,RepMikeBishop
21524,"POLIQUIN, Bruce Lee",115,House,RepPoliquin
21521,"YOUNG, David",115,House,RepDavidYoung
21520,"BLUM, Rod",115,House,RepRodBlum
21512,"CURBELO, Carlos",115,House,RepCurbelo
21509,"WALTERS, Mimi",115,House,RepMimiWalters
21505,"KNIGHT, Steve",115,House,SteveKnight25
21361,"O'ROURKE, Beto",115,House,RepBetoORourke
21357,"ROTHFUS, Keith",115,House,KeithRothfus
21354,"BRIDENSTINE, Jim",115,House,RepJBridenstine
21347,"PITTENGER, Robert",115,House,reppittenger
21341,"LUJAN GRISHAM, Michelle",115,House,RepLujanGrisham
21334,"DELANEY, John",115,House,RepJohnDelaney
21332,"MESSER, Luke",115,House,RepLukeMesser
21318,"DeSANTIS, Ron",115,House,RonDeSantisFL
21316,"ESTY, Elizabeth",115,House,RepEsty
21309,"CÁRDENAS, Tony",115,House,RepCardenas
21184,"FARENTHOLD, Blake",115,House,farenthold
21180,"BLACK, Diane",115,House,RepDianeBlack
21177,"NOEM, Kristi",115,House,RepKristiNoem
21176,"MULVANEY, Mick",115,House,RepMickMulvaney
21175,"GOWDY, Trey",115,House,TGowdySC
21171,"BARLETTA, Lou",115,House,RepLouBarletta
21168,"MEEHAN, Patrick",115,House,RepMeehan
21164,"RENACCI, Jim",115,House,RepJimRenacci
21136,"POMPEO, Mike",115,House,RepMikePompeo
21135,"YODER, Kevin",115,House,RepKevinYoder
21131,"ROKITA, Todd",115,House,ToddRokita
21129,"HULTGREN, Randy",115,House,RepHultgren
21125,"LABRADOR, Raúl R.",115,House,Raul_Labrador
21124,"HANABUSA, Colleen",115,House,RepHanabusa
21117,"ROSS, Dennis",115,House,RepDennisRoss
21109,"DENHAM, Jeff",115,House,RepJeffDenham
20949,"CHAFFETZ, Jason",115,House,jasoninthehouse
20932,"LUJÁN, Ben Ray",115,House,repbenraylujan
20929,"LANCE, Leonard",115,House,RepLanceNJ7
20925,"HARPER, Gregg",115,House,GreggHarper
20924,"PAULSEN, Erik",115,House,RepErikPaulsen
20915,"JENKINS, Lynn",115,House,RepLynnJenkins
20910,"ROONEY, Thomas J.",115,House,TomRooney
20906,"COFFMAN, Mike",115,House,RepMikeCoffman
20904,"POLIS, Jared",115,House,jaredpolis
20754,"TSONGAS, Nicola S. (Niki)",115,House,nikiinthehouse
20731,"SHEA-PORTER, Carol",115,House,RepSheaPorter
20730,"HELLER, Dean",115,Senate,DeanHeller
20727,"ELLISON, Keith",115,House,keithellison
20726,"WALZ, Tim",115,House,RepTimWalz
20717,"DONNELLY, Joe",115,Senate,SenDonnelly
20715,"ROSKAM, Peter",115,House,PeterRoskam
20536,"REICHERT, David G.",115,House,davereichert
20528,"POE, Ted",115,House,JudgeTedPoe
20526,"DENT, Charles W.",115,House,RepCharlieDent
20505,"PRICE, Tom",115,House,RepTomPrice
20352,"HENSARLING, Jeb",115,House,RepHensarling
20346,"MURPHY, Timothy",115,House,RepTimMurphy
20337,"PEARCE, Stevan",115,House,RepStevePearce
20310,"SÁNCHEZ, Linda T.",115,House,RepLindaSanchez
20304,"FRANKS, Trent",115,House,RepTrentFranks
20139,"CULBERSON, John",115,House,johnculberson
20134,"SHUSTER, William (Bill)",115,House,RepBillShuster
20130,"TIBERI, Patrick (Pat)",115,House,PatTiberi
20100,"FLAKE, Jeff",115,Senate,JeffFlake
15634,"ROS-LEHTINEN, Ileana",115,House,RosLehtinen
15621,"ROHRABACHER, Dana",115,House,DanaRohrabacher
15455,"DUNCAN, John J., Jr.",115,House,RepJohnDuncanJr
15445,"SMITH, Lamar Seeligson",115,House,LamarSmithTX21
15444,"SLAUGHTER, Louise McIntosh",115,House,louiseslaughter
15429,"KYL, Jon Llewellyn",115,Senate,
15085,"BARTON, Joe Linus",115,House,RepJoeBarton
15039,"McCAIN, John Sidney, III",115,Senate,SenJohnMcCain
15033,"LEVIN, Sander Martin",115,House,SenCarlLevin
14657,"SENSENBRENNER, Frank James, Jr.",115,House,JimPressOffice
14651,"NELSON, Clarence William (Bill)",115,Senate,SenBillNelson
14503,"HATCH, Orrin Grant",115,Senate,OrrinHatch
14263,"NOLAN, Richard Michael",115,House,USRepRickNolan
14009,"COCHRAN, William Thad",115,Senate,SenThadCochran
10713,"CONYERS, John, Jr.",115,House,RepJohnConyers
41106,"AYOTTE, Kelly",114,Senate,KellyAyotte
29918,"VITTER, David",114,Senate,DavidVitter
29774,"CAPPS, Lois",114,House,RepLoisCapps
29763,"HINOJOSA, Rubén",114,House,USRepRHinojosa
29752,"PITTS, Joseph R.",114,House,RepJoePitts
29709,"SANCHEZ, Loretta",114,House,LorettaSanchez
29559,"FATTAH, Chaka",114,House,chakafattah
29525,"WHITFIELD, Wayne Edward (Ed)",114,House,RepEdWhitfield
29500,"SALMON, Matthew James",114,House,RepMattSalmon
29331,"MICA, John L.",114,House,RepJohnMica
29328,"BROWN, Corrine",114,House,RepCorrineBrown
29313,"FARR, Sam",114,House,RepSamFarr
29137,"BOEHNER, John Andrew",114,House,SpeakerBoehner
21535,"GUINTA, Frank",114,House,RepFrankGuinta
21534,"HARDY, Cresent Leo",114,House,RepHardy
21533,"ASHFORD, John Bradley",114,House,RepBradAshford
21518,"DOLD, Robert",114,House,RepDold
21517,"TAKAI, Mark",114,House,RepMarkTakai
21511,"GRAHAM, Gwendolyn (Gwen)",114,House,GwenGraham
21401,"JOLLY, David W.",114,House,USRepDavidJolly
21377,"CLAWSON, Curt",114,House,RepCurtClawson
21319,"MURPHY, Patrick",114,House,PatrickMurphyFL
21195,"HAHN, Janice",114,House,Rep_JaniceHahn
21190,"RIBBLE, Reid",114,House,RepRibble
21186,"HURT, Robert",114,House,RepRobertHurt
21185,"RIGELL, E. Scott",114,House,RepScottRigell
21181,"FINCHER, Stephen Lee",114,House,RepFincherTN08
21159,"ELLMERS, Renee",114,House,RepReneeEllmers
21157,"HANNA, Richard",114,House,RepRichardHanna
21156,"GIBSON, Christopher",114,House,RepChrisGibson
21151,"HECK, Joe",114,House,RepJoeHeck
21147,"NUNNELEE, Alan",114,House,RepAlanNunnelee
21141,"BENISHEK, Dan",114,House,CongressmanDan
21134,"HUELSKAMP, Tim",114,House,CongHuelskamp
21115,"NUGENT, Richard",114,House,RepRichNugent
21113,"CARNEY, John C., Jr.",114,House,JohnCarneyDE
21100,"STUTZMAN, Marlin",114,House,RepStutzman
20918,"FLEMING, John",114,House,FlemingforLA
20914,"SCHOCK, Aaron",114,House,aaronschock
20908,"GRAYSON, Alan",114,House,AlanGrayson
20763,"EDWARDS, Donna F.",114,House,DonnaFEdwards
20524,"FITZPATRICK, Michael G.",114,House,RepFitzpatrick
20514,"BOUSTANY, Charles W.",114,House,RepBoustany
20506,"WESTMORELAND, Lynn A.",114,House,RepWestmoreland
20353,"NEUGEBAUER, Randy",114,House,RandyNeugebauer
20336,"GARRETT, Scott",114,House,RepGarrett
20333,"KLINE, John",114,House,repjohnkline
20331,"MILLER, Candice S.",114,House,CandiceMiller
20143,"FORBES, J. Randy",114,House,Randy_Forbes
20129,"ISRAEL, Steve",114,House,RepSteveIsrael
20115,"KIRK, Mark Steven",114,Senate,SenatorKirk
20111,"CRENSHAW, Ander",114,House,AnderCrenshaw
20110,"MILLER, Jefferson B. (Jeff)",114,House,RepJeffMiller
20103,"HONDA, Mike",114,House,RepMikeHonda
15613,"McDERMOTT, James A.",114,House,RepJimMcDermott
15054,"REID, Harry",114,Senate,SenatorReid
15011,"BOXER, Barbara",114,Senate,SenatorBoxer
14806,"COATS, Daniel Ray",114,Senate,SenDanCoats
14440,"MIKULSKI, Barbara Ann",114,Senate,SenatorBarb
13035,"RANGEL, Charles B.",114,House,cbrangel
99911,"OBAMA, Barack",113,President,BarackObama
94828,"HALL, Ralph Moody",113,House,RalphHallPress
90327,"ALEXANDER, Rodney",113,House,
49702,"LANDRIEU, Mary L.",113,Senate,SenLandrieu
41309,"WALSH, John E.",113,Senate,JohnWalsh
41307,"CHIESA, Jeffrey Scott",113,Senate,ChiesaNews
41306,"COWAN, William (Mo)",113,Senate,mocowan
40907,"HAGAN, Kay",113,Senate,kayhagan
40905,"JOHANNS, Mike",113,Senate,
40900,"BEGICH, Mark",113,Senate,SenatorBegich
40301,"PRYOR, Mark",113,Senate,PryorForSenate
29923,"HOLT, Rush",113,House,
29921,"TERRY, Lee Raymond",113,House,LEETERRYNE
29906,"UDALL, Mark",113,Senate,MarkUdall
29905,"MILLER, Gary G.",113,House,RepGaryMiller
29746,"McINTYRE, Mike",113,House,
29744,"McCARTHY, Carolyn",113,House,RepMcCarthyNY
29736,"EMERSON, Jo Ann",113,House,
29730,"TIERNEY, John F.",113,House,RepTierney
29580,"HASTINGS, Richard Norman (Doc)",113,House,DocHastings
29570,"STOCKMAN, Steve",113,House,
29555,"COBURN, Thomas Allen",113,Senate,TomCoburn
29522,"LATHAM, Thomas",113,House,TomLatham
29512,"CHAMBLISS, Saxby",113,Senate,SaxbyChambliss
29383,"WATT, Melvin L.",113,House,
29338,"KINGSTON, Jack",113,House,JackKingston
29315,"McKEON, Howard P. (Buck)",113,House,
29301,"BACHUS, Spencer T., III",113,House,BachusAL06
29149,"MORAN, James P.",113,House,Jim_Moran
29132,"ANDREWS, Robert Ernest",113,House,
29124,"CAMP, David Lee",113,House,
29101,"PASTOR, Ed",113,House,
21374,"McALLISTER, Vance M.",113,House,
21363,"GALLEGO, Pete P.",113,House,RepPeteGallego
21336,"BENTIVOLIO, Kerry",113,House,RepKerryB
21327,"ENYART, Bill",113,House,RepBillEnyart
21322,"GARCIA, Joe",113,House,RepJoeGarcia
21320,"RADEL, Trey",113,House,RepCurtClawson
21310,"NEGRETE McLEOD, Gloria",113,House,RepMcLeod
21199,"BARBER, Ron",113,House,
21154,"GRIMM, Michael G.",113,House,
21153,"RUNYAN, Jon",113,House,RepJonRunyan
21114,"SOUTHERLAND, Steve",113,House,Rep_Southerland
21107,"GRIFFIN, Tim",113,House,LtGovTimGriffin
20957,"OWENS, William",113,House,BillOwensNY
20935,"MAFFEI, Daniel B.",113,House,
20753,"BROUN, Paul C., Jr.",113,House,PaulBrounMD
20728,"BACHMANN, Michele",113,House,MicheleBachmann
20719,"BRALEY, Bruce",113,House,BruceBraley
20539,"CAMPBELL, John (of California)",113,House,
20525,"SCHWARTZ, Allyson Y.",113,House,allysonschwartz
20507,"BARROW, John",113,House,JohnBarrowGA
20345,"GERLACH, Jim",113,House,
20338,"BISHOP, Timothy H.",113,House,TimBishopNY
20328,"MICHAUD, Michael H.",113,House,MikeHMichaud
20319,"GINGREY, Phil",113,House,DrPhilGingrey
20300,"BONNER, Jr., Josiah Robins (Jo)",113,House,
20144,"CANTOR, Eric",113,House,EricCantor
20140,"MATHESON, James David (Jim)",113,House,RepJimMatheson
20120,"ROGERS, Mike",113,House,
15425,"JOHNSON, Timothy Peter (Tim)",113,Senate,SenJohnsonSD
15092,"COBLE, Howard",113,House,HowardCoble
14922,"ROCKEFELLER, John Davison IV (Jay)",113,Senate,
14920,"KERRY, John Forbes",113,Senate,JohnKerry
14914,"LAUTENBERG, Frank Raleigh",113,Senate,FrankLautenberg
14869,"WOLF, Frank Rudolph",113,House,RepWOLFPress
14709,"LEVIN, Carl",113,Senate,SenCarlLevin
14675,"PETRI, Thomas Evert",113,House,
14448,"RAHALL, Nick Joe, II",113,House,RepNickRahall
14280,"WAXMAN, Henry Arnold",113,House,WaxmanClimate
14256,"MILLER, George",113,House,askgeorge
14230,"HARKIN, Thomas Richard (Tom)",113,Senate,SenatorHarkin
13047,"YOUNG, Charles William (Bill)",113,House,
2605,"DINGELL, John David, Jr.",113,House,JohnDingell
49306,"HUTCHISON, Kathryn Ann Bailey (Kay)",112,Senate,kaybaileyhutch
40913,"BROWN, Scott P.",112,Senate,SenScottBrown
40706,"WEBB, James H. (Jim)",112,Senate,JimWebbUSA
40103,"NELSON, Earl Benjamin (Ben)",112,Senate,
31100,"CURSON, David Alan",112,House,
29943,"GONZALEZ, Charles A.",112,House,TX20CharlieG
29942,"BACA, Joe",112,House,RepJoeBaca
29937,"INSLEE, Jay Robert",112,House,JayInslee
29936,"DeMINT, James W.",112,Senate,JimDeMint
29931,"WU, David",112,House,
29926,"WEINER, Anthony D.",112,House,anthonyweiner
29922,"BERKLEY, Shelley",112,House,RepBerkley
29912,"BIGGERT, Judy Borg",112,House,JudyBiggert
29775,"BONO, Mary",112,House,MaryBonoUSA
29764,"REYES, Silvestre",112,House,SilvestreReyes
29748,"KUCINICH, Dennis",112,House,Dennis_Kucinich
29742,"ROTHMAN, Steven",112,House,CongRothman
29721,"BOSWELL, Leonard L.",112,House,LeonardBoswell
29585,"JACKSON, Jesse L., Jr.",112,House,
29549,"MYRICK, Sue",112,House,
29538,"BASS, Charles Foster",112,House,RepCharlesBass
29537,"ENSIGN, John Eric",112,Senate,
29508,"BILBRAY, Brian P.",112,House,BilbrayCA50
29396,"HOLDEN, Thomas Timothy (Tim)",112,House,
29380,"HINCHEY, Maurice Dunlea",112,House,mauricehinchey
29356,"BARTLETT, Roscoe Gardner",112,House,
29349,"MANZULLO, Donald A.",112,House,
29318,"HARMAN, Jane L.",112,House,
29309,"WOOLSEY, Lynn C.",112,House,
29123,"OLVER, John Walter",112,House,
21197,"TURNER, Robert L.",112,House,
21194,"HOCHUL, Kathleen C.",112,House,KathyHochul
21183,"CANSECO, Francisco (Quico)",112,House,
21160,"BERG, Rick",112,House,
21158,"BUERKLE, Ann Marie",112,House,
21155,"HAYWORTH, Nan",112,House,NanHayworth
21152,"GUINTA, Frank",112,House,RepFrankGuinta
21145,"CLARKE, Hansen",112,House,
21138,"LANDRY, Jeff",112,House,JeffLandry
21130,"SCHILLING, Bobby",112,House,BobbySchilling
21127,"DOLD, Robert",112,House,RepDold
21126,"WALSH, Joe",112,House,WalshFreedom
21121,"RIVERA, David",112,House,RepRivera
21120,"ADAMS, Sandra (Sandy)",112,House,RepSandyAdams
21119,"WEST, Allen",112,House,AllenWest
21104,"QUAYLE, Ben",112,House,benquayle
20940,"AUSTRIA, Steve",112,House,SteveAustria
20936,"LEE, Christopher John",112,House,
20752,"RICHARDSON, Laura",112,House,
20743,"ALTMIRE, Jason",112,House,jasonaltmire
20740,"SUTTON, Betty",112,House,
20737,"SHULER, Heath",112,House,
20701,"GIFFORDS, Gabrielle",112,House,GabbyGiffords
20540,"SCHMIDT, Jean",112,House,
20523,"BOREN, Daniel David",112,House,
20516,"CARNAHAN, Russ",112,House,russcarnahan
20511,"DAVIS, Geoffrey C. (Geoff)",112,House,RepGeoffDavis
20503,"MACK, Connie, IV",112,House,ConnieMackIV
20341,"MILLER, Brad",112,House,RepBradMiller
20332,"McCOTTER, Thaddeus George",112,House,ThadMcCotter
20326,"CHANDLER, A. B. (Ben)",112,House,
20306,"CARDOZA, Dennis A.",112,House,RepCardoza
20135,"PLATTS, Todd",112,House,
20131,"SULLIVAN, John",112,House,USRepSullivan
20123,"AKIN, W. Todd",112,House,ToddAkin
20117,"PENCE, Mike",112,House,GovPenceIN
20116,"JOHNSON, Timothy V.",112,House,
20102,"ROSS, Michael Avery",112,House,
15704,"LIEBERMAN, Joseph I.",112,Senate,JoeLieberman
15703,"KOHL, Herbert H.",112,Senate,
15627,"STEARNS, Clifford Bundy",112,House,RepCliffStearns
15619,"PAYNE, Donald Milford",112,House,RepDonaldPayne
15502,"CONRAD, Kent",112,Senate,
15453,"COSTELLO, Jerry Francis",112,House,
15072,"TOWNS, Edolphus",112,House,EdTowns
15014,"BURTON, Danny Lee",112,House,
15005,"BERMAN, Howard Lawrence",112,House,RepHowardBerman
15000,"ACKERMAN, Gary Leonard",112,House,RepGaryAckerman
14912,"BINGAMAN, Jesse Francis, Jr. (Jeff)",112,Senate,
14824,"FRANK, Barney",112,House,
14813,"DREIER, David Timothy",112,House,
14661,"SNOWE, Olympia Jean",112,Senate,SenatorSnowe
14644,"LEWIS, Charles Jeremy (Jerry)",112,House,RepJerryLewis
14506,"LUGAR, Richard Green",112,Senate,dicklugar
14430,"KILDEE, Dale Edward",112,House,dankildee
14413,"DICKS, Norman DeValois",112,House,
14400,"AKAKA, Daniel Kahikina",112,Senate,SenatorAkaka
14290,"PAUL, Ronald Ernest",112,House,
14053,"STARK, Fortney Hillman (Pete), Jr.",112,House,
4812,"INOUYE, Daniel Ken",112,Senate,Daniel_Inouye
99342,"DEAL, John Nathan",111,House,
94910,"SPECTER, Arlen",111,Senate,SenArlenSpecter
90901,"GRIFFITH, Parker",111,House,
49903,"VOINOVICH, George Victor",111,Senate,
49901,"BAYH, Evan",111,Senate,
49309,"FEINGOLD, Russell Dana",111,Senate,russfeingold
49307,"BENNETT, Robert",111,Senate,
40914,"GOODWIN, Carte P.",111,Senate,
40912,"KIRK, Paul G., Jr.",111,Senate,
40911,"LEMIEUX, George S.",111,Senate,
40903,"BURRIS, Roland",111,Senate,
40901,"KAUFMAN, Edward E. (Ted)",111,Senate,
40501,"MARTINEZ, Melquiades R. (Mel)",111,Senate,
40500,"SALAZAR, Kenneth Lee",111,Senate,KenSalazar
40105,"CLINTON, Hillary Rodham",111,Senate,HillaryClinton
39316,"McHUGH, John Michael",111,House,
39300,"INGLIS, Robert Durden",111,House,bobinglis
29938,"BAIRD, Brian",111,House,
29915,"MOORE, Dennis",111,House,
29914,"HILL, Baron P.",111,House,
29771,"RODRIGUEZ, Ciro D.",111,House,
29745,"ETHERIDGE, Bobby R.",111,House,
29733,"KILPATRICK, Carolyn Cheeks",111,House,
29731,"DELAHUNT, Bill",111,House,
29715,"WEXLER, Robert",111,House,
29713,"BOYD, F. Allen, Jr.",111,House,
29705,"TAUSCHER, Ellen O'Kane",111,House,
29703,"SNYDER, Victor F.",111,House,
29702,"BERRY, Robert Marion",111,House,
29567,"WAMP, Zachary Paul",111,House,
29564,"KENNEDY, Patrick Joseph",111,House,PJK4brainhealth
29523,"BROWNBACK, Sam Dale",111,Senate,govsambrownback
29519,"SOUDER, Mark Edward",111,House,
29384,"POMEROY, Earl Ralph, III",111,House,
29362,"EHLERS, Vernon James",111,House,
29361,"HOEKSTRA, Peter",111,House,petehoekstra
29350,"BUYER, Stephen Earle",111,House,
29341,"LINDER, John Elmer",111,House,
29336,"DIAZ-BALART, Lincoln",111,House,MarioDB
29327,"CASTLE, Michael Newbold",111,House,
29305,"LINCOLN, Blanche Lambert",111,Senate,
29144,"EDWARDS, Thomas Chester (Chet)",111,House,
20961,"DJOU, Charles",111,House,
20956,"MURPHY, Scott",111,House,
20951,"PERRIELLO, Tom",111,House,tomperriello
